task_tag ,cluster                                                     ,created_at                       ,started_at ,completed_at                     ,failures_during_execution ,retries_before_aborting ,fault_tolerance_technology_label ,checkpoint_strategy_label ,task_completed_successfully ,time_spent_spawning_cluster ,time_spent_setting_up_task ,time_spent_checkpointing ,time_spent_restoring_cluster ,time_spent_executing_task ,total_time_spent
exp 1-2  ,aws-us-east-1c-4x-t3.2xlarge-spot-efs-22-00-11--14-02-2024  ,2024-02-15 01:04:14.782353+00:00 ,           ,2024-02-15 01:20:19.294955+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        241 ,                        13 ,                       0 ,                         326 ,                       98 ,             678
exp 1-3  ,aws-us-east-1c-4x-t3.2xlarge-spot-efs-22-00-11--14-02-2024  ,2024-02-15 01:04:14.788449+00:00 ,           ,2024-02-15 01:27:53.449739+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        241 ,                        13 ,                       0 ,                         342 ,                       95 ,             691
exp 1-4  ,aws-us-east-1c-4x-t3.2xlarge-spot-efs-22-00-11--14-02-2024  ,2024-02-15 01:04:14.794210+00:00 ,           ,2024-02-15 01:34:32.090079+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        241 ,                        13 ,                       0 ,                         293 ,                       89 ,             636
exp 1-5  ,aws-us-east-1c-4x-t3.2xlarge-spot-efs-22-00-11--14-02-2024  ,2024-02-15 01:04:14.803089+00:00 ,           ,2024-02-15 01:41:31.072510+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        241 ,                        13 ,                       0 ,                         309 ,                       94 ,             657
exp 2-1  ,aws-us-east-1c-4x-t3.2xlarge-spot-efs-22-00-11--14-02-2024  ,2024-02-15 01:04:14.809911+00:00 ,           ,2024-02-15 01:48:22.670218+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        241 ,                        13 ,                       0 ,                         299 ,                       95 ,             648
exp 2-2  ,aws-us-east-1c-4x-t3.2xlarge-spot-efs-22-00-11--14-02-2024  ,2024-02-15 01:04:14.815075+00:00 ,           ,2024-02-15 01:54:48.932647+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        241 ,                        13 ,                       0 ,                         277 ,                       92 ,             623
exp 2-3  ,aws-us-east-1c-4x-t3.2xlarge-spot-efs-22-00-11--14-02-2024  ,2024-02-15 01:04:14.820791+00:00 ,           ,2024-02-15 02:01:05.001890+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        241 ,                        13 ,                       0 ,                         267 ,                       92 ,             613
exp 2-4  ,aws-us-east-1c-4x-t3.2xlarge-spot-efs-22-00-11--14-02-2024  ,2024-02-15 01:04:14.826700+00:00 ,           ,2024-02-15 02:07:19.947754+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        241 ,                        13 ,                       0 ,                         268 ,                       90 ,             612
exp 2-5  ,aws-us-east-1c-4x-t3.2xlarge-spot-efs-22-00-11--14-02-2024  ,2024-02-15 01:04:14.832074+00:00 ,           ,2024-02-15 02:13:28.373899+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        241 ,                        13 ,                       0 ,                         262 ,                       90 ,             606
exp 3-1  ,aws-us-east-1c-4x-t3.2xlarge-spot-efs-22-00-11--14-02-2024  ,2024-02-15 01:04:14.836990+00:00 ,           ,2024-02-15 02:20:47.987544+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        241 ,                        13 ,                       0 ,                         322 ,                      100 ,             676
exp 3-2  ,aws-us-east-1c-4x-t3.2xlarge-spot-efs-22-00-11--14-02-2024  ,2024-02-15 01:04:14.842605+00:00 ,           ,2024-02-15 02:27:06.742410+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        241 ,                        13 ,                       0 ,                         261 ,                      101 ,             616
exp 3-3  ,aws-us-east-1c-4x-t3.2xlarge-spot-efs-22-00-11--14-02-2024  ,2024-02-15 01:04:14.847733+00:00 ,           ,2024-02-15 02:35:20.547478+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        241 ,                        12 ,                       0 ,                         377 ,                      101 ,             731
exp 3-4  ,aws-us-east-1c-4x-t3.2xlarge-spot-efs-22-00-11--14-02-2024  ,2024-02-15 01:04:14.854594+00:00 ,           ,2024-02-15 02:43:35.911176+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        241 ,                        13 ,                       0 ,                         379 ,                       99 ,             732
exp 3-5  ,aws-us-east-1c-4x-t3.2xlarge-spot-efs-22-00-11--14-02-2024  ,2024-02-15 01:04:14.860672+00:00 ,           ,2024-02-15 02:50:51.573616+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        241 ,                        12 ,                       0 ,                         321 ,                       99 ,             673
exp 9-2  ,aws-us-east-1c-4x-c5.2xlarge-spot-efs-02-00-47--15-02-2024  ,2024-02-15 05:06:17.722593+00:00 ,           ,2024-02-15 06:39:00.590247+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        328 ,                        13 ,                       0 ,                         374 ,                       88 ,             803
