label,media,desvio_padrao,porcentagem_desvio_padrao
tempo total,450.0,21.66794868002045,4.815099706671211
tempo não idle,137.39573766200002,22.10784373092644,16.09063287342492
SCR_Init,11.8619,0.2743981140605743,2.313272865734615
SCR_Have_restart,0.0014934780000000001,5.225605247241702e-05,3.4989502672564994
SCR_Start_restart,0.0007761734,7.675060981060672e-05,9.888332917696834
SCR_Route_file,0.001099484,0.0002029952996500165,18.462778871726783
SCR_Complete_restart,0.013323079999999998,0.0007196342939299102,5.4014108894483135
SCR_Need_checkpoint,0.00020661259999999997,5.408508313111851e-05,26.177049769045315
SCR_Start_output,13.71715,7.42906142456771,54.1589282363152
SCR_Complete_output,2.3297580000000004,0.6305333450896947,27.064327929754704
SCR_Finalize,14.957556779999999,8.350418825946388,55.827425219016206
