label,media,desvio_padrao,porcentagem_desvio_padrao
tempo total,444.4,53.73360214986522,12.091269610680744
tempo não idle,94.194166906,3.8328961468273457,4.069143846935172
SCR_Init,5.392234,0.39215849286991117,7.272653465519322
SCR_Have_restart,0.0010029715999999998,0.00010874868774748506,10.8426487596942
SCR_Start_restart,0.0004559708,0.00010751727783802935,23.579860341501988
SCR_Route_file,0.0007703794,4.044472375971918e-06,0.524997472150984
SCR_Complete_restart,0.001609706,0.0006396860159718987,39.73930742457931
SCR_Need_checkpoint,1.1029699999999999e-05,2.440397611046199e-07,2.212569345536324
SCR_Start_output,8.273176000000001,0.17644513858420702,2.1327376401058915
SCR_Complete_output,2.57222,0.08313712979168805,3.2321158295825416
SCR_Finalize,9.312898,0.12498702120620334,1.3420851512193446
