label,media,desvio_padrao,porcentagem_desvio_padrao
tempo total,400.2,59.5541770155545,14.881103702037608
tempo não idle,89.993973574,2.5501842581770515,2.833727811874084
SCR_Init,5.301018,0.30249981226440453,5.706447559023655
SCR_Have_restart,0.0006125462,7.736540952324881e-05,12.630134596092313
SCR_Start_restart,0.00031770240000000003,3.419444017380604e-05,10.76304119005901
SCR_Route_file,0.0007303016,5.339857985002964e-06,0.7311853054961078
SCR_Complete_restart,0.0011552928,0.00017796576281745887,15.40438604113683
SCR_Need_checkpoint,1.311702e-05,5.302672882613073e-07,4.042589614571811
SCR_Start_output,7.967340000000002,0.293175503495773,3.679716235227478
SCR_Complete_output,1.897722,0.02345756423842853,1.2360906517618773
SCR_Finalize,9.083051999999999,0.2597255299734699,2.8594521970530384
