label,media,desvio_padrao,porcentagem_desvio_padrao
tempo total,444.6,48.2420977984996,10.850674268668376
tempo não idle,112.59671757199999,1.1401364059173442,1.012584052628607
SCR_Init,7.943549999999999,0.12205864451156273,1.5365755173891111
SCR_Have_restart,0.0021264759999999995,0.0008403363911732015,39.51779334322144
SCR_Start_restart,0.000556574,5.188268238535858e-05,9.321794116390377
SCR_Route_file,0.0011232862,0.0001864931329116437,16.602459187306287
SCR_Complete_restart,0.01196418,0.008005752305651854,66.91434185754356
SCR_Need_checkpoint,1.325624e-05,5.807438962227668e-07,4.380909641216264
SCR_Start_output,8.21424,0.29977727023575335,3.6494827304261053
SCR_Complete_output,9.068088,0.18693411291147471,2.0614501415455466
SCR_Finalize,9.372774,0.1740696844082854,1.857184270188158
