tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
454.0,85.99448542,5.34876,0.000568392,0.000269295,0.000713069,0.00100836,1.37858e-05,8.39858,2.16558,9.61908
528.0,92.99384607,5.63316,0.000643616,0.000339254,0.000722204,0.00181485,1.37446e-05,8.1311,2.17269,9.43088
403.0,91.9947184,5.34685,0.000664697,0.000266682,0.000760862,0.00257838,1.33332e-05,7.95491,2.22961,9.05626
579.0,91.99453316,5.31794,0.000672454,0.000357937,0.000749245,0.00138608,1.46757e-05,8.34936,2.19119,9.46914
463.0,92.9945706,5.35724,0.000714745,0.000352222,0.000760657,0.00191514,1.35112e-05,8.1015,2.23906,9.2486
