tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
341.0,91.99438688,5.75113,0.000626828,0.000339455,0.000736533,0.00141277,1.26841e-05,8.28291,1.90543,9.49302
342.0,91.99442091,5.33466,0.000607101,0.000263281,0.000733574,0.00119161,1.36342e-05,8.01188,1.91258,9.04108
397.0,85.99270663,5.09632,0.000507513,0.000305583,0.000728734,0.00119877,1.28097e-05,8.16548,1.90206,8.99826
463.0,90.99422143,5.3633,0.000724084,0.00034689,0.000730243,0.000999056,1.27039e-05,7.84177,1.91202,8.77912
458.0,88.99413202,4.95968,0.000597205,0.000333303,0.000722424,0.000974258,1.37532e-05,7.53466,1.85652,9.10378
