tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
397.0,100.99671278,5.83346,0.00157805,0.000628863,0.00114896,0.00257942,0.000197479,7.30099,3.23224,8.87495
455.0,101.99663732,5.82034,0.00143088,0.000572655,0.00114331,0.00229704,0.000189584,7.74095,3.18546,9.22683
382.0,99.99680424,5.82702,0.00130393,0.00052556,0.00113078,0.00359934,0.000195428,7.43714,3.15196,8.88063
388.0,101.99647257,6.59747,0.00149287,0.000668419,0.00113428,0.0034274,0.000198361,7.90553,3.30172,9.27449
390.0,100.99662191,5.91827,0.0012078,0.000630336,0.00116518,0.00328831,0.000198088,7.41712,3.17613,9.08759
