tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
466.0,92.99276787,6.09165,0.000873785,0.000378425,0.000763854,0.00196582,1.0458e-05,8.03185,5.12459,9.07753
475.0,100.99446186,6.48175,0.000845647,0.000499354,0.000764832,0.00270714,1.05144e-05,8.60094,5.11997,9.25313
418.0,102.99477154,6.17613,0.000792337,0.000534293,0.000764984,0.00263897,1.05139e-05,8.0438,5.31586,9.23615
351.0,94.99446106,6.54827,0.000832452,0.000443177,0.000764956,0.00184962,1.07006e-05,8.23138,5.1309,9.21473
475.0,101.99419449,6.17835,0.000891775,0.00056231,0.000764885,0.0024486,1.05686e-05,8.42583,5.31729,8.93347
