tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
549.0,101.99442698,5.47669,0.000703187,0.000446385,0.000768622,0.00184342,1.11962e-05,8.45212,2.47493,9.48184
529.0,95.99303059,5.90243,0.000828869,0.000469452,0.000760991,0.0027181,1.10102e-05,8.15655,2.26214,9.31817
351.0,95.99456369,5.74857,0.00115949,0.000625517,0.000767721,0.00119945,1.08653e-05,8.23897,2.28266,9.48685
463.0,88.9963782,5.38308,0.000895306,0.000445892,0.000780833,0.00170143,1.09065e-05,8.02278,2.2683,9.06738
463.0,87.9963292,4.82837,0.000895368,0.000407754,0.000787761,0.00160897,1.13863e-05,8.27594,2.27963,9.23765
