tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
396.0,100.99681016,5.99167,0.00131052,0.000589242,0.00118091,0.00658115,0.000199886,7.76147,2.30512,9.52959
395.0,101.99684959,6.33396,0.0013135,0.00075071,0.00116331,0.00745268,0.000196539,7.9067,2.3192,9.27637
401.0,99.99366497,5.71016,0.00124742,0.000599963,0.00113561,0.00225293,0.000203814,7.4192,2.32948,9.07491
470.0,105.99538476,5.96581,0.00120684,0.000504384,0.00112494,0.00249821,0.00019508,7.63217,2.32582,8.88781
395.0,98.99644216,5.01119,0.00149019,0.0005888,0.00112654,0.00256063,0.000181743,7.28574,2.2776,8.86089
