tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
415.0,126.99719231,9.64479,0.000856285,0.000441968,0.000727825,0.00199188,1.46327e-05,17.0834,2.1813,18.4211
411.0,127.99706344,10.7935,0.00087252,0.000471632,0.000734477,0.00253726,1.53969e-05,17.2284,2.32128,18.4905
419.0,129.99720516,11.1944,0.000834069,0.000460364,0.000738362,0.00290466,1.5035e-05,17.5217,2.24206,19.0155
479.0,130.99730951,11.5647,0.000828388,0.000420275,0.000746595,0.00395361,1.51947e-05,17.4883,2.38947,18.772
438.0,131.99720426,11.1831,0.000859048,0.000482009,0.000737621,0.00362246,1.47915e-05,17.803,2.44799,19.356
