tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
421.0,136.99735771,11.5101,0.000890976,0.000455336,0.000732931,0.00192382,1.60345e-05,18.0221,1.93779,19.2828
473.0,129.99721066,11.465,0.000860384,0.000453663,0.000745481,0.00216476,1.57797e-05,17.344,2.04,18.6216
415.0,129.99726673,11.5755,0.000831748,0.000447109,0.000735332,0.00192353,1.61383e-05,17.8003,1.87669,19.0208
409.0,127.99733652,11.0702,0.000833228,0.000480772,0.000740911,0.00293448,1.53003e-05,17.2585,1.91505,18.3098
415.0,128.99727846,10.9879,0.000845282,0.000445794,0.000742512,0.00339335,1.59657e-05,18.024,1.89741,19.1792
