tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
517.0,158.99600659,11.6073,0.00785284,0.00289872,0.00097883,0.0344725,1.43463e-05,18.594,4.77115,19.0144
522.0,153.9801904,13.247,0.00855968,0.00116533,0.00124268,0.0278048,1.59604e-05,18.0646,4.69099,18.8601
449.0,149.9839712,11.2367,0.00228874,0.00256263,0.00163968,0.0224625,2.53964e-05,18.2873,4.44059,18.9024
403.0,101.99816615,12.0242,0.00290419,0.000934435,0.000700064,0.0130192,7.24258e-06,0.599837,2.11304,0.0258831
453.0,153.99616816,12.078,0.00239918,0.00165317,0.000985318,0.0247157,1.54401e-05,18.3568,4.7047,18.7688
