tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
520.0,135.99619594,12.2807,0.000780997,0.000411169,0.00074937,0.00343985,1.6186e-05,17.4695,4.68211,18.7837
586.0,132.99614134,12.3148,0.000777704,0.000460578,0.000738239,0.00275244,1.53972e-05,17.1833,4.85095,18.8409
427.0,133.99582678,12.4361,0.000750598,0.000396606,0.000755324,0.0025736,1.43866e-05,17.3899,4.65369,18.4539
435.0,133.99617345,11.9214,0.000766319,0.000429681,0.000761931,0.00231304,1.48566e-05,16.7393,4.62362,18.9189
613.0,133.9961186,12.5068,0.000752753,0.000415837,0.000757302,0.00223408,1.54331e-05,17.7522,4.87537,18.7735
