tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
475.0,157.99605009,12.7706,0.001521,0.000934976,0.00115803,0.00415606,0.000203951,17.3961,6.8189,18.8355
467.0,155.9962095,13.172,0.00160926,0.000908103,0.00116623,0.00566757,0.000225896,17.8228,6.88714,19.0246
459.0,152.99615575,13.1043,0.00169499,0.000776446,0.00116054,0.00664673,0.000212759,17.6072,6.61116,18.4372
459.0,151.99642171,12.9383,0.00149839,0.000830964,0.00115401,0.00484969,0.000213137,17.5237,6.40596,18.8991
463.0,152.99585347,12.6767,0.00165623,0.000899772,0.00114884,0.0030116,0.000217394,17.1774,6.5219,19.3189
