tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
460.0,147.99533328,11.7523,0.00142612,0.000783781,0.00121476,0.0138906,0.000225432,17.3526,2.51321,18.6866
453.0,145.99553342,11.6567,0.00156647,0.000895312,0.00118073,0.0127365,0.000224547,16.6035,2.56101,18.5674
460.0,144.99513597,11.6439,0.00148964,0.000780621,0.00117035,0.0134592,0.000249295,16.8073,2.50852,18.4398
412.0,97.99749011,11.9586,0.00146976,0.000729084,0.00073757,0.0124339,0.000111903,0.44145,1.22832,0.0257839
465.0,149.99519553,12.298,0.0015154,0.000692069,0.00119401,0.0140952,0.000221886,17.3809,2.83773,19.0682
