tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
346.0,95.9919116,6.04758,0.0007138,0.000345669,0.000743937,0.00167454,1.33956e-05,7.71642,4.28859,8.99953
339.0,87.99373721,5.9211,0.000624938,0.000256606,0.000737712,0.000925469,1.26248e-05,8.47736,4.61117,9.41098
466.0,95.99255472,5.67744,0.000643334,0.000267343,0.000748307,0.00152267,1.34878e-05,7.93436,4.38861,9.19256
459.0,95.99430839,5.74201,0.00055427,0.000257486,0.000743717,0.00159836,1.33335e-05,7.65517,4.39247,9.21218
463.0,93.99466084,5.54032,0.000584015,0.000265041,0.000734454,0.00119046,1.30649e-05,7.69265,4.69172,8.84393
