tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
388.0,89.99592035,11.9495,0.00134388,0.000675864,0.000497085,0.00214572,6.19355e-06,0.35165,1.1146,0.0236385
460.0,104.9968889,11.5431,0.00129023,0.000628244,0.000494086,0.00186472,5.58087e-06,0.33456,1.11782,0.0196528
198.0,52.999997356,6.05826,0.000694578,0.000288742,0.000264991,0.000852679,2.65283e-06,0.130911,0.556251,0.0197122
430.0,134.99410479,11.5026,0.000981541,0.000645344,0.000782142,0.00204017,1.11391e-05,17.9939,2.35699,19.2091
273.0,65.999996684,5.97095,0.000640129,0.000369201,0.00025924,0.000709791,2.4058e-06,0.135414,0.559071,0.0232942
