tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
426.0,139.99682913,12.4872,0.00124573,0.000687791,0.000790194,0.00175183,1.09693e-05,17.2217,5.40695,18.6518
429.0,138.99678036,12.5759,0.00130591,0.0006506,0.000783144,0.0019919,1.15262e-05,18.1075,5.4071,19.1505
431.0,140.99702527,12.7533,0.00134987,0.000559587,0.000772636,0.00210525,1.11133e-05,17.1727,5.33837,18.7736
432.0,139.99706645,12.8113,0.00127869,0.00063053,0.000780689,0.0021346,1.1065e-05,17.6195,5.48957,18.4758
428.0,138.99695748,12.4405,0.00121525,0.000591451,0.000774057,0.00182737,1.14245e-05,17.4526,5.40004,18.3272
