tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
457.0,149.99574344,11.2135,0.00239803,0.000945117,0.0011543,0.00465643,0.000215299,17.4231,3.77367,18.9166
464.0,148.99614007,11.7686,0.00166522,0.000857561,0.00114859,0.00295588,0.000207798,17.0615,3.60617,18.9961
475.0,147.99606407,12.1764,0.00194219,0.000963958,0.00115813,0.0045706,0.000214368,17.4308,3.48453,18.5807
537.0,150.99608157,12.0114,0.00159358,0.000853439,0.00116185,0.00455557,0.000211812,17.7614,3.43134,18.7291
483.0,153.99633727,12.3382,0.0015249,0.00093781,0.00117272,0.00707341,0.000212189,17.9248,3.51111,19.4783
