tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
520.0,130.99520582,8.12697,0.00465263,0.000885316,0.00150138,0.0568302,1.33825e-05,6.47651,5.37195,9.66022
437.0,110.9966957,7.25208,0.00937416,0.00283393,0.000982851,0.015155,1.48177e-05,8.41866,5.0469,9.58525
450.0,107.99685006,7.19668,0.00779496,0.00492787,0.00132772,0.0376579,1.37434e-05,7.36728,4.27901,9.38316
395.0,101.99659359,6.12255,0.001478,0.000582535,0.00116271,0.0119538,1.31643e-05,7.67642,4.30698,9.07245
416.0,106.9965643,6.83264,0.000956673,0.000409354,0.00144045,0.00720994,1.26707e-05,7.42984,4.67308,9.2379
