tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
469.0,169.99508512,13.9664,0.00276563,0.000840448,0.00205031,0.033805,1.32815e-05,18.1015,10.9177,19.2677
462.0,164.99632557,14.0841,0.00264818,0.000898181,0.00106164,0.0162661,1.73856e-05,17.567,9.97818,19.4098
476.0,170.99576662,14.9457,0.00276835,0.00124139,0.00206767,0.0338269,1.73898e-05,18.352,11.1052,19.2444
498.0,170.99604707,14.6395,0.0101183,0.0123178,0.00254966,0.0410752,1.26352e-05,18.5792,10.5739,19.3216
546.0,166.99673632,13.4073,0.00437304,0.00351401,0.0010399,0.0442602,1.35063e-05,18.5268,9.83465,19.1892
