tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
426.0,132.99700694,11.5142,0.00118901,0.000671367,0.00077515,0.00175173,1.09657e-05,16.8469,2.61477,18.3795
418.0,132.99686849,11.9215,0.00109685,0.000714427,0.000778106,0.00233824,1.14069e-05,17.0291,2.56511,18.7535
489.0,135.99704213,11.8649,0.00130053,0.000671843,0.000777994,0.00184759,1.15473e-05,17.3179,2.55878,18.8084
549.0,133.99697638,11.6194,0.00146808,0.000685747,0.00078149,0.00152651,1.15953e-05,18.3737,2.5573,18.9074
420.0,132.99704062,11.4077,0.00148499,0.000798623,0.000784324,0.00168264,1.12515e-05,17.1605,2.53903,18.4781
