tempo total,tempo não idle,SCR_Init,SCR_Have_restart,SCR_Start_restart,SCR_Route_file,SCR_Complete_restart,SCR_Need_checkpoint,SCR_Start_output,SCR_Complete_output,SCR_Finalize
465.0,89.99634919,4.92714,0.00102128,0.000385621,0.00077277,0.00187529,1.10756e-05,8.51571,2.54252,9.38243
404.0,89.99453034,5.20721,0.00109277,0.000556207,0.0007695,0.00100914,1.10063e-05,8.08918,2.54064,9.11076
412.0,96.99159052,5.96757,0.000836786,0.000453404,0.00076705,0.00118061,1.07537e-05,8.3401,2.72049,9.40192
530.0,96.99411601,5.30553,0.0011013,0.000566536,0.000776095,0.00138778,1.09042e-05,8.3092,2.52848,9.27177
411.0,96.99424847,5.55372,0.000962722,0.000318086,0.000766482,0.00259571,1.14087e-05,8.11169,2.52897,9.39761
